Epoch,RMSE_Training,RMSE_Validation
1,0.115476,0.075181
2,0.082275,0.0668508
3,0.0662814,0.0479149
4,0.0582783,0.0425019
5,0.0541169,0.0415279
6,0.0515027,0.0412805
7,0.0496166,0.0410946
8,0.0481821,0.0408649
9,0.0470322,0.0405279
10,0.0460758,0.0401333
11,0.0452594,0.0397206
12,0.0445482,0.0393129
13,0.0439231,0.0389214
14,0.0433658,0.0385587
15,0.0428596,0.0382249
16,0.0423966,0.0379197
17,0.0419593,0.0376378
18,0.0415422,0.037382
19,0.0411421,0.0371479
20,0.040755,0.0369282
21,0.040383,0.0367144
22,0.0400195,0.0365008
23,0.0396584,0.0362867
24,0.039296,0.0360638
25,0.0389299,0.0358308
26,0.0385591,0.0355891
27,0.0381841,0.0353534
28,0.0378107,0.0351242
29,0.0374496,0.0349092
30,0.0371093,0.0347071
31,0.0367929,0.0345125
32,0.0364984,0.0343214
33,0.0362254,0.0341302
34,0.0359732,0.0339388
35,0.0357381,0.0337492
36,0.0355187,0.0335615
37,0.0353119,0.0333747
38,0.0351155,0.0331888
39,0.0349285,0.0330058
40,0.0347496,0.0328267
41,0.0345783,0.0326507
42,0.0344143,0.0324783
43,0.0342555,0.032311
44,0.0341024,0.0321487
45,0.0339565,0.0319915
46,0.0338173,0.0318396
47,0.0336836,0.0316932
48,0.0335541,0.0315536
49,0.0334291,0.0314199
50,0.0333098,0.0312921
51,0.0331958,0.0311699
52,0.0330855,0.0310533
53,0.0329792,0.030942
54,0.0328769,0.0308359
55,0.0327792,0.0307345
56,0.0326855,0.0306376
57,0.0325961,0.030545
58,0.0325113,0.0304575
59,0.0324305,0.0303759
60,0.0323527,0.0302977
61,0.0322772,0.0302226
62,0.0322044,0.0301506
63,0.0321345,0.0300813
64,0.0320672,0.0300148
65,0.0320026,0.0299519
66,0.03194,0.0298927
67,0.0318796,0.029836
68,0.0318206,0.0297814
69,0.031763,0.0297288
70,0.0317064,0.029678
71,0.031651,0.029629
72,0.0315967,0.0295823
73,0.0315434,0.0295372
74,0.0314912,0.0294944
75,0.0314405,0.0294533
76,0.0313905,0.0294137
77,0.0313412,0.029376
78,0.0312927,0.0293393
79,0.0312448,0.0293037
80,0.0311977,0.0292691
81,0.0311512,0.0292355
82,0.0311052,0.0292035
83,0.0310597,0.0291722
84,0.0310147,0.0291416
85,0.0309703,0.0291118
86,0.0309264,0.0290826
87,0.0308829,0.029054
88,0.0308398,0.0290259
89,0.0307971,0.0289984
90,0.0307547,0.0289714
